student_id,content_id,activity,score,time_spent,feedback,timestamp,feedback_sentiment,recent_score_delta
93,10,lecture,3.62,588,just right,1744286266,7.845204122869376e-05,-10.035424029177712
88,38,lecture,23.33,176,just right,1744281135,0.9528889579828632,-3.261271722238014
84,40,lecture,70.48,263,too easy,1744319227,-0.7816310260633248,-13.514803116531287
94,27,quiz,77.29,580,too hard,1744264144,0.0010241888635922347,-7.211734899103611
63,24,lecture,56.95,303,too easy,1744277120,0.3644887228648981,11.115207012997246
38,16,assignment,27.08,153,too hard,1744264204,-0.5086781994885581,-11.375244334835667
69,10,assignment,40.51,218,too easy,1744238834,0.9382245525392814,17.88452870625764
45,27,lecture,9.6,235,too easy,1744287438,-0.3019565423442103,-0.2831288202554525
74,7,lecture,95.32,467,too easy,1744321965,0.8647112230980067,-15.723198142609526
70,28,quiz,86.87,293,just right,1744305907,0.19471086066155063,17.722448479650346
68,26,assignment,6.56,495,too hard,1744266029,-0.9918411346523504,-1.7328693842330978
4,18,quiz,16.65,120,too hard,1744289089,-0.37777572380074464,2.278607697329747
71,13,lecture,58.11,359,just right,1744302356,-0.9569027105560803,-12.592209017099293
48,8,assignment,23.24,342,just right,1744312819,-0.2370485399075053,-6.66764048486451
97,27,assignment,93.44,89,too hard,1744293526,0.8650680629201339,8.145521416040577
9,14,quiz,75.56,395,too hard,1744245743,0.558034040724908,-15.041224179513687
90,41,lecture,27.33,413,too easy,1744289394,0.24026426160133485,2.818353973709577
47,44,assignment,0.61,337,too easy,1744312325,0.07710408786077139,7.740910648165915
85,6,quiz,79.94,303,too hard,1744316321,-0.25483615362258116,-19.926534389647262
60,20,assignment,42.41,503,too hard,1744262746,-0.5769205937385373,13.503057247446215
52,28,lecture,64.24,193,too easy,1744257212,-0.874950164372903,-17.746668163021162
86,23,lecture,28.7,221,just right,1744277147,-0.6197066665502144,-10.123192351857387
33,12,lecture,14.29,260,too hard,1744257264,-0.29695983453851094,18.541795931588673
58,24,quiz,67.53,176,too hard,1744274142,0.039982233259134636,-16.758368146216117
97,44,lecture,45.03,552,just right,1744293176,-0.5911922086642862,13.037622379858675
48,22,quiz,23.52,171,just right,1744241070,0.9486571811368154,6.079931585996601
5,26,assignment,13.76,282,just right,1744298085,-0.8462997065874189,3.9351449329998758
85,22,lecture,58.05,545,too hard,1744282729,-0.8104163927898786,3.2672976477010494
27,7,quiz,72.55,428,too hard,1744265525,0.3652047238406493,-13.341656064803914
41,15,quiz,28.39,416,too hard,1744321873,0.5101231565944684,6.752880243755719
1,48,quiz,73.51,401,too easy,1744269616,0.9449029381248766,18.065269750399906
51,30,lecture,18.31,447,just right,1744289795,0.06088844294767681,-16.91861978289021
16,4,quiz,33.84,96,just right,1744274549,-0.6681321434754366,-6.7034987606626295
99,6,lecture,74.49,414,too easy,1744273862,0.8758579095423833,-1.1099321992839926
100,48,lecture,66.01,284,too easy,1744302000,0.9604687868175634,-10.708352945235076
32,47,assignment,27.05,424,too easy,1744286107,0.8470278153616695,9.635649632717332
93,2,assignment,12.21,571,too easy,1744258797,0.7433123570095759,7.544913730036399
47,31,lecture,4.25,336,just right,1744285645,-0.8448517908314905,-15.288915278685229
23,24,assignment,83.79,121,too easy,1744320411,0.7097462315495529,2.778496306175498
